,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
73,71,Danilo Gallinari,SF,23,DEN,7,7,222,8.1,22.5,.362,1.0,5.5,.174,7.2,17.0,.423,5.3,5.7,.917,2.2,6.5,8.6,4.1,1.2,1.0,2.2,3.6,22.5,,102,108
74,72,Kevin Garnett*,C,35,BOS,20,20,737,11.8,23.7,.497,0.1,0.3,.250,11.7,23.4,.500,4.8,5.9,.813,2.3,13.0,15.3,2.2,1.7,2.2,3.3,4.4,28.5,,102,95
75,73,Marc Gasol,C,27,MEM,7,7,261,7.6,14.5,.522,0.0,0.2,.000,7.6,14.3,.529,7.1,9.0,.791,3.4,6.5,9.9,4.6,0.4,2.7,2.7,5.2,22.2,,122,103
76,74,Pau Gasol*,PF,31,LAL,12,12,444,7.5,17.3,.434,0.2,0.6,.400,7.3,16.7,.435,2.9,3.5,.828,4.6,9.2,13.8,5.3,0.7,3.0,2.4,4.4,18.2,,107,109
77,75,Rudy Gay,SF,25,MEM,7,7,279,9.4,22.4,.421,0.8,3.7,.211,8.6,18.6,.463,6.5,7.9,.825,2.0,7.1,9.0,2.0,1.8,0.4,4.1,2.9,26.1,,99,102
78,76,Paul George,SG,21,IND,11,11,371,5.4,14.0,.389,1.6,6.0,.268,3.8,7.9,.481,3.2,4.1,.786,2.2,8.5,10.7,3.8,2.6,0.6,3.1,4.7,15.7,,100,99
79,77,Taj Gibson,PF,26,CHI,6,0,137,8.4,18.3,.457,0.0,0.0,,8.4,18.3,.457,6.0,8.8,.682,6.0,9.5,15.5,1.6,1.6,4.0,1.2,7.6,22.7,,112,93
80,78,Manu Ginóbili*,SG,34,SAS,14,2,390,8.7,19.3,.448,3.1,9.1,.338,5.6,10.3,.545,6.4,7.5,.857,1.1,5.5,6.5,7.5,1.3,0.5,5.6,4.8,26.8,,106,106
81,79,Andrew Goudelock,SG,23,LAL,4,0,10,10.8,16.1,.667,5.4,5.4,1.000,5.4,10.8,.500,0.0,0.0,,0.0,5.4,5.4,0.0,0.0,0.0,0.0,5.4,26.9,,164,116
82,80,Danny Granger,SF,28,IND,11,11,420,9.0,22.6,.397,3.4,9.5,.356,5.6,13.1,.426,3.0,3.6,.821,1.9,6.1,8.1,3.5,0.8,0.5,3.8,4.0,24.3,,100,104
