,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game
116,112,Tyler Kolek,PG,23,NYK,3,0,2.0,0.3,0.3,1.000,0.3,0.3,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.0,1.0
117,113,John Konchar,SG,28,MEM,4,0,17.3,0.8,2.3,.333,0.3,1.5,.167,0.5,0.8,.667,.389,1.0,1.0,1.000,0.8,2.5,3.3,1.5,0.5,0.5,0.5,2.0,2.8
118,114,Luke Kornet,C,29,BOS,11,1,16.4,1.9,2.6,.724,0.0,0.0,,1.9,2.6,.724,.724,0.7,0.7,1.000,1.5,2.5,3.9,0.5,0.5,1.2,0.5,1.8,4.5
119,115,Jonathan Kuminga,PF,22,GSW,8,1,23.4,5.6,11.6,.484,1.3,3.1,.400,4.4,8.5,.515,.538,2.8,3.9,.710,0.9,1.6,2.5,1.3,0.5,0.5,1.6,1.6,15.3
120,116,Kyle Kuzma,PF,29,MIL,5,4,20.4,2.4,7.0,.343,0.4,2.0,.200,2.0,5.0,.400,.371,0.6,1.2,.500,0.6,1.6,2.2,0.8,0.0,0.2,0.6,2.4,5.8
121,117,Jock Landale,C,29,HOU,1,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
122,118,Pelle Larsson,SG,23,MIA,4,0,13.0,2.0,3.8,.533,0.8,2.0,.375,1.3,1.8,.714,.633,0.3,0.8,.333,0.5,1.8,2.3,1.0,0.3,0.0,0.5,1.5,5.0
123,119,Alex Len,C,31,LAL,2,0,2.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
124,120,Kawhi Leonard,SF,33,LAC,7,7,37.9,9.4,17.6,.537,2.1,5.3,.405,7.3,12.3,.593,.598,4.0,5.1,.778,1.6,6.0,7.6,4.7,1.1,0.7,2.1,1.7,25.0
125,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
