,league,season,rank,player,team,position,salary
320,mlb,2017,321,Eduardo Escobar,MIN,SS,"$2,600,000"
321,mlb,2017,,Franklin Gutierrez,LAD,CF,"$2,600,000"
322,mlb,2017,323,Joaquin Benoit,PIT,RP,"$2,581,992"
323,mlb,2017,324,Jake Diekman,TEX,RP,"$2,550,000"
324,mlb,2017,,César Hernández,PHI,2B,"$2,550,000"
325,mlb,2017,326,Scooter Gennett,CIN,2B,"$2,525,000"
326,mlb,2017,327,A.J. Ellis,MIA,C,"$2,500,000"
327,mlb,2017,,Adolis García,STL,CF,"$2,500,000"
328,mlb,2017,,Jedd Gyorko,STL,3B,"$2,500,000"
329,mlb,2017,,Yaisel Sierra,LAD,SP,"$2,500,000"
330,mlb,2017,,Will Smith,SF,RP,"$2,500,000"
331,mlb,2017,,Kolten Wong,STL,2B,"$2,500,000"
332,mlb,2017,333,Chase Anderson,MIL,SP,"$2,450,000"
333,mlb,2017,334,Pat Neshek,COL,RP,"$2,379,773"
334,mlb,2017,335,James Paxton,SEA,SP,"$2,350,000"
335,mlb,2017,336,Sean Rodriguez,PIT,2B,"$2,334,699"
336,mlb,2017,337,Adeiny Hechavarria,TB,SS,"$2,329,460"
337,mlb,2017,338,A.J. Ramos,NYM,RP,"$2,326,480"
338,mlb,2017,339,Drew Hutchison,PIT,RP,"$2,300,000"
339,mlb,2017,,Chris Owings,ARI,2B,"$2,300,000"
340,mlb,2017,341,Adam Warren,NYY,RP,"$2,290,000"
341,mlb,2017,342,Dustin Ackley,LAA,2B,"$2,250,000"
342,mlb,2017,,Jorge De La Rosa,ARI,RP,"$2,250,000"
343,mlb,2017,,Cliff Pennington,LAA,SS,"$2,250,000"
344,mlb,2017,,Yusmeiro Petit,LAA,RP,"$2,250,000"
345,mlb,2017,,Chase Utley,LAD,2B,"$2,250,000"
346,mlb,2017,,Taijuan Walker,ARI,SP,"$2,250,000"
347,mlb,2017,348,Doug Fister,BOS,SP,"$2,200,000"
348,mlb,2017,,Wilmer Flores,NYM,SS,"$2,200,000"
349,mlb,2017,,Will Harris,HOU,RP,"$2,200,000"
350,mlb,2017,351,Carlos Torres,MIL,RP,"$2,175,000"
351,mlb,2017,352,Steve Cishek,TB,RP,"$2,163,942"
352,mlb,2017,353,Erasmo Ramirez,SEA,SP,"$2,127,082"
353,mlb,2017,354,Adam Ottavino,COL,RP,"$2,100,000"
354,mlb,2017,355,Matt Belisle,MIN,RP,"$2,050,000"
355,mlb,2017,,Tyler Thornburg,BOS,RP,"$2,050,000"
356,mlb,2017,357,Fernando Abad,BOS,RP,"$2,000,000"
357,mlb,2017,,Pedro Alvarez,BAL,1B,"$2,000,000"
358,mlb,2017,,Aledmys Diaz,STL,SS,"$2,000,000"
359,mlb,2017,,Brian Duensing,CHC,RP,"$2,000,000"
360,mlb,2017,,Nathan Eovaldi,TB,SP,"$2,000,000"
361,mlb,2017,,A.J. Griffin,TEX,RP,"$2,000,000"
362,mlb,2017,,Brandon Guyer,CLE,RF,"$2,000,000"
363,mlb,2017,,Nick Hundley,SF,C,"$2,000,000"
364,mlb,2017,,Jeff Mathis,ARI,C,"$2,000,000"
365,mlb,2017,,Jon Singleton,HOU,1B,"$2,000,000"
366,mlb,2017,,Geovany Soto,CHW,C,"$2,000,000"
367,mlb,2017,,Ichiro Suzuki,MIA,RF,"$2,000,000"
368,mlb,2017,369,Robinson Chirinos,TEX,C/1B,"$1,950,000"
369,mlb,2017,,Brock Holt,BOS,2B,"$1,950,000"
370,mlb,2017,371,Tony Watson,LAD,RP,"$1,927,863"
371,mlb,2017,372,Nate Jones,CHW,RP,"$1,900,000"
372,mlb,2017,373,Nori Aoki,TOR,LF,"$1,893,465"
373,mlb,2017,374,Travis d'Arnaud,NYM,C,"$1,875,000"
374,mlb,2017,375,David Phelps,SEA,RP,"$1,860,138"
375,mlb,2017,376,Jonathan Lucroy,COL,C,"$1,836,096"
376,mlb,2017,377,Justin Grimm,CHC,RP,"$1,825,000"
377,mlb,2017,,Zach McAllister,CLE,RP,"$1,825,000"
378,mlb,2017,,Robbie Ross,BOS,RP,"$1,825,000"
379,mlb,2017,380,Ryan Flaherty,BAL,3B,"$1,800,000"
380,mlb,2017,,Adam Lind,WSH,1B,"$1,800,000"
381,mlb,2017,382,Christian Friedrich,SD,SP,"$1,790,000"
382,mlb,2017,383,Randall Delgado,ARI,RP,"$1,775,000"
383,mlb,2017,384,Matt Albers,WSH,RP,"$1,750,000"
384,mlb,2017,,Erick Aybar,SD,SS,"$1,750,000"
385,mlb,2017,,Tony Barnette,TEX,RP,"$1,750,000"
386,mlb,2017,,Jhoulys Chacin,SD,SP,"$1,750,000"
387,mlb,2017,,Dustin McGowan,MIA,RP,"$1,750,000"
388,mlb,2017,,Bud Norris,LAA,SP,"$1,750,000"
389,mlb,2017,,Clayton Richard,SD,SP,"$1,750,000"
390,mlb,2017,391,Martin Maldonado,LAA,C,"$1,725,000"
391,mlb,2017,392,Derek Dietrich,MIA,2B,"$1,700,000"
392,mlb,2017,393,Tyler Clippard,HOU,RP,"$1,646,743"
393,mlb,2017,394,Dylan Bundy,BAL,SP,"$1,640,000"
394,mlb,2017,395,Kevin Siegrist,PHI,RP,"$1,637,500"
395,mlb,2017,396,Stephen Vogt,MIL,C,"$1,603,998"
396,mlb,2017,397,Brad Boxberger,TB,RP,"$1,600,000"
397,mlb,2017,,Kurt Suzuki,ATL,C,"$1,600,000"
398,mlb,2017,399,Jose Lobaton,WSH,C,"$1,575,000"
