,league,season,rank,player,team,position,salary
282,nhl,2013,,Christopher Higgins,VAN,LW,"$2,500,000"
283,nhl,2013,,Saku Koivu,ANA,C,"$2,500,000"
284,nhl,2013,,Lauri Korpikoski,PHX,LW,"$2,500,000"
285,nhl,2013,,Dmitry Kulikov,FLA,D,"$2,500,000"
286,nhl,2013,,Eric Nystrom,NSH,LW,"$2,500,000"
287,nhl,2013,,Brandon Prust,MTL,LW,"$2,500,000"
288,nhl,2013,289,Jakub Kindl,DET,D,"$2,400,000"
289,nhl,2013,290,Andrew Cogliano,ANA,LW,"$2,390,000"
290,nhl,2013,291,Tyler Kennedy,SJS,C,"$2,350,000"
291,nhl,2013,292,Michael Frolik,WPG,RW,"$2,333,333"
292,nhl,2013,293,Ben Bishop,TBL,G,"$2,300,000"
293,nhl,2013,,Matt Niskanen,PIT,D,"$2,300,000"
294,nhl,2013,295,Carl Hagelin,NYR,LW,"$2,250,000"
295,nhl,2013,,Jordan Leopold,STL,D,"$2,250,000"
296,nhl,2013,,Ryan Smyth,EDM,LW,"$2,250,000"
297,nhl,2013,,Ryan Wilson,COL,D,"$2,250,000"
298,nhl,2013,299,Steve Downie,PHI,RW,"$2,242,308"
299,nhl,2013,300,Michal Rozsival,CHI,D,"$2,200,000"
300,nhl,2013,301,Luca Sbisa,ANA,D,"$2,175,000"
301,nhl,2013,302,Nikita Nikitin,CBJ,D,"$2,150,000"
302,nhl,2013,303,T.J. Brodie,CGY,D,"$2,125,000"
303,nhl,2013,,Darren Helm,DET,C,"$2,125,000"
304,nhl,2013,305,Tim Gleason,TOR,D,"$2,112,821"
305,nhl,2013,306,Jussi Jokinen,PIT,LW,"$2,100,000"
306,nhl,2013,,David Moss,PHX,RW,"$2,100,000"
307,nhl,2013,308,Todd Bertuzzi,DET,RW,"$2,075,000"
308,nhl,2013,309,Grant Clitsome,WPG,D,"$2,066,667"
309,nhl,2013,,Brandon Sutter,PIT,C,"$2,066,667"
310,nhl,2013,311,John-Michael Liles,CAR,D,"$2,046,795"
311,nhl,2013,312,Alexei Emelin,MTL,D,"$2,000,000"
312,nhl,2013,,Cody Franson,TOR,D,"$2,000,000"
