,Player,Age,Team,Season,G,3PA_p100,3P%,eFG%,FT%,MP,PER,TS%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Salary,PercentofCap,season_number,ScoringVolume,PlaymakingVolume,ReboundingVolume,StealsVolume,BlocksVolume,TurnoverVolume,ImpactMinutes,EfficientScoring,OffensiveCreation,Is_Guard,Is_Wing,Is_Big,ShootingGravity,accolades,RookieScale,Expected_Percentage,Expected_Salary,SurplusValuePct,PTS,TRB,AST
83,Derik Queen,21.0,NOP,2025,81.0,2.1,0.261,0.489,0.795,25.0,15.9,0.546,21.8,0.4,2.3,0.063,-1.5,0.7,-0.8,0.6,5157960.0,0.0334,1,1814.4,567.0,1093.5,162.0,137.7,364.5,-20.0,12.2,36.2,0,0,1,-0.2,0,1,0.0367,5675990.0,0.3303,11.7,7.1,3.7
84,Bennedict Mathurin,23.0,2TM,2025,54.0,7.1,0.315,0.485,0.869,30.0,14.7,0.575,25.2,1.0,1.1,0.062,-1.1,-1.4,-2.5,-0.2,9187573.0,0.0594,4,1533.6,210.6,475.2,70.2,21.6,189.0,-75.0,16.3,36.0,0,1,0,-0.2,0,1,0.0619,9566996.7,0.2463,17.6,5.4,2.4
85,Tari Eason,24.0,HOU,2025,60.0,8.4,0.358,0.496,0.776,25.8,12.9,0.514,18.7,0.6,2.3,0.091,-1.8,0.2,-1.6,0.2,5675766.0,0.0367,4,1212.0,174.0,726.0,138.0,54.0,156.0,-41.3,10.4,26.1,0,0,1,0.1,0,1,0.0387,5979963.5,0.1968,10.5,6.3,1.5
86,Cedric Coward,22.0,MEM,2025,62.0,8.2,0.338,0.542,0.843,25.8,15.3,0.585,21.5,1.4,1.1,0.076,0.4,-0.6,-0.2,0.7,5715120.0,0.037,1,1550.0,316.2,669.6,74.4,49.6,192.2,-5.2,14.6,35.1,1,0,0,-0.1,0,1,0.0387,5986069.3,0.1708,13.6,5.9,2.8
87,Shai Gilgeous-Alexander,27.0,OKC,2025,68.0,6.4,0.386,0.597,0.879,33.2,30.8,0.665,33.4,11.1,4.1,0.323,8.7,3.0,11.7,7.8,38333050.0,0.2479,8,3080.4,652.8,428.4,136.0,74.8,217.6,388.4,30.1,64.7,1,0,0,0.2,4,0,0.2491,38528146.5,0.1236,31.1,4.3,6.6
88,Donovan Mitchell,29.0,CLE,2025,70.0,12.6,0.364,0.563,0.865,33.5,22.9,0.613,32.2,5.8,2.4,0.169,5.2,-0.2,5.1,4.2,46394100.0,0.3,9,2807.0,574.0,455.0,147.0,28.0,287.0,170.8,24.6,56.7,1,0,0,0.2,4,0,0.3008,46523182.0,0.0835,27.9,4.5,5.7
89,Moritz Wagner,28.0,ORL,2025,36.0,7.9,0.314,0.482,0.819,11.9,15.3,0.545,24.3,0.4,0.6,0.104,-1.4,-0.8,-2.2,0.0,5000000.0,0.0323,8,1000.8,108.0,464.4,61.2,7.2,75.6,-26.2,15.2,33.5,0,0,1,-0.3,0,0,0.033,5099584.6,0.0676,6.9,3.2,0.8
90,Isaiah Stewart,24.0,DET,2025,58.0,4.4,0.333,0.6,0.756,22.7,15.2,0.632,16.6,1.9,2.1,0.149,-1.1,1.1,0.0,0.7,15000000.0,0.097,6,1235.4,139.2,614.8,34.8,197.2,145.0,0.0,13.5,26.0,0,0,1,-0.1,0,0,0.0974,15066238.9,0.0423,10.0,5.0,1.1
91,Isaac Okoro,25.0,CHI,2025,63.0,6.1,0.33,0.539,0.795,26.9,9.8,0.574,13.6,1.4,0.7,0.061,-3.0,-0.8,-3.8,-0.8,11000000.0,0.0711,6,1014.3,176.4,302.4,81.9,50.4,81.9,-102.2,9.2,21.6,1,0,0,-0.1,0,0,0.0713,11029632.1,0.0221,9.3,2.7,1.6
92,Bam Adebayo,28.0,MIA,2025,73.0,7.8,0.318,0.497,0.778,32.4,18.7,0.551,25.0,2.8,3.6,0.129,1.5,0.4,2.0,2.4,37096620.0,0.2399,9,2102.4,335.8,1051.2,124.1,73.0,175.2,64.8,15.9,37.8,0,0,1,-0.2,0,0,0.24,37111158.5,0.0073,20.1,10.0,3.2
93,Anthony Black,22.0,ORL,2025,64.0,7.5,0.333,0.512,0.732,29.8,13.7,0.549,22.2,0.3,2.4,0.067,-1.2,0.7,-0.6,0.7,7970280.0,0.0515,3,1542.4,377.6,390.4,147.2,70.4,211.2,-17.9,13.2,35.8,1,0,0,-0.1,0,1,0.0515,7969843.8,0.0036,15.0,3.8,3.7
94,Jerami Grant,31.0,POR,2025,57.0,9.9,0.389,0.547,0.814,29.7,15.4,0.608,23.8,2.6,1.4,0.114,0.9,-0.9,0.0,0.9,32000001.0,0.2069,12,1704.3,193.8,319.2,68.4,57.0,193.8,0.0,18.2,37.1,0,0,1,0.4,0,0,0.206,31856044.3,-0.0908,18.6,3.5,2.1
95,Shaedon Sharpe,22.0,POR,2025,50.0,9.9,0.337,0.511,0.787,29.4,15.3,0.546,30.5,-0.4,1.6,0.041,-0.4,-0.9,-1.4,0.2,8399983.0,0.0543,4,1690.0,215.0,350.0,115.0,10.0,240.0,-41.2,18.5,42.3,1,0,0,-0.1,0,1,0.053,8197469.4,-0.1292,20.8,4.3,2.6
96,Reed Sheppard,21.0,HOU,2025,82.0,13.4,0.394,0.55,0.802,26.2,15.7,0.564,21.7,2.7,3.1,0.131,1.2,1.5,2.7,2.5,10603560.0,0.0686,2,2115.6,524.8,451.0,229.6,106.6,237.8,70.7,14.6,39.2,1,0,0,0.6,0,1,0.0669,10345609.9,-0.1702,13.5,2.9,3.4
97,Goga Bitadze,26.0,ORL,2025,64.0,0.5,0.182,0.68,0.711,15.2,20.1,0.7,13.5,2.8,1.6,0.218,0.8,2.0,2.8,1.2,8333333.0,0.0539,7,1184.0,268.8,1011.2,115.2,192.0,134.4,42.6,13.0,26.8,0,0,1,-0.1,0,0,0.0512,7925637.3,-0.265,5.9,5.0,1.3
98,Jaden Hardy,23.0,2TM,2025,57.0,13.8,0.397,0.545,0.733,15.8,10.9,0.566,24.4,-0.3,0.1,-0.01,-1.5,-3.3,-4.8,-0.6,6000000.0,0.0388,4,1567.5,176.7,256.5,45.6,17.1,188.1,-75.8,15.6,34.3,1,0,0,0.6,0,1,0.0361,5588151.4,-0.2665,9.2,1.5,1.0
99,Brandon Ingram,28.0,TOR,2025,77.0,6.6,0.382,0.529,0.82,33.8,16.3,0.573,26.9,1.5,3.1,0.084,1.0,-0.5,0.5,1.7,38095238.0,0.2463,10,2387.0,408.1,623.7,84.7,77.0,269.5,16.9,17.8,41.8,0,1,0,0.2,1,0,0.2432,37608717.7,-0.3109,21.5,5.6,3.7
