,league,season,rank,player,team,position,salary
163,nba,2012,,Travis Outlaw,NJN,SF,"$4,000,000"
164,nba,2012,,Luke Ridnour,MIN,PG,"$4,000,000"
165,nba,2012,,Brandon Rush,GSW,SG,"$4,000,000"
166,nba,2012,167,Stephen Curry,GSW,PG,"$3,958,742"
167,nba,2012,168,Tiago Splitter,SAS,PF,"$3,944,000"
168,nba,2012,169,Kirk Hinrich,CHI,SG,"$3,941,000"
169,nba,2012,170,Tristan Thompson,CLE,C,"$3,894,240"
170,nba,2012,171,DeMarcus Cousins,SAC,C,"$3,880,800"
171,nba,2012,172,Joel Anthony,MIA,C,"$3,750,000"
172,nba,2012,,Mike Dunleavy,MIL,SF,"$3,750,000"
173,nba,2012,174,Dion Waiters,CLE,SG,"$3,726,600"
174,nba,2012,175,Matt Bonner,SAS,C,"$3,630,000"
175,nba,2012,176,Thabo Sefolosha,OKC,SF,"$3,600,000"
176,nba,2012,177,Ricky Rubio,MIN,PG,"$3,526,499"
177,nba,2012,178,Ekpe Udoh,MIL,C,"$3,524,880"
178,nba,2012,179,D.J. Augustin,IND,PG,"$3,500,000"
179,nba,2012,,Shannon Brown,PHX,PG,"$3,500,000"
180,nba,2012,,Chris Duhon,LAL,PG,"$3,500,000"
181,nba,2012,,Alonzo Gee,CLE,SF,"$3,500,000"
182,nba,2012,,Danny Green,SAS,SG,"$3,500,000"
183,nba,2012,,Gerald Green,IND,SG,"$3,500,000"
184,nba,2012,,Jordan Hill,LAL,C,"$3,500,000"
185,nba,2012,,Johan Petro,ATL,C,"$3,500,000"
186,nba,2012,187,Raymond Felton,NYK,PG,"$3,480,453"
187,nba,2012,188,Thomas Robinson,HOU,PF,"$3,374,640"
188,nba,2012,,Jonas Valanciunas,TOR,C,"$3,374,640"
189,nba,2012,190,DeMar DeRozan,TOR,SG,"$3,344,250"
190,nba,2012,191,Tony Allen,MEM,SG,"$3,300,000"
191,nba,2012,192,Will Bynum,DET,PG,"$3,250,000"
192,nba,2012,193,Corey Brewer,DEN,SG,"$3,243,000"
193,nba,2012,194,Greg Monroe,DET,C,"$3,217,680"
194,nba,2012,195,Jan Vesely,WAS,SF,"$3,202,920"
195,nba,2012,196,Brandon Jennings,MIL,PG,"$3,179,493"
196,nba,2012,197,Timofey Mozgov,DEN,C,"$3,140,429"
197,nba,2012,198,Shane Battier,MIA,SF,"$3,135,000"
