,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,Unnamed: 30,Offensive Rating,Defensive Rating,Season
240,37,Caron Butler,SF,32,LAC,6,6,136,8.8,18.4,.478,1.6,6.4,.250,7.2,12.0,.600,1.2,1.2,1.000,0.4,6.0,6.4,0.0,0.8,0.8,2.4,4.4,20.4,,97,115,2012-2013
241,38,Jimmy Butler,SF,23,CHI,12,12,490,5.6,12.9,.435,1.7,4.1,.405,3.9,8.7,.449,5.0,6.2,.818,1.0,5.9,7.0,3.6,1.7,0.7,1.8,2.9,17.9,,117,111,2012-2013
242,39,Marcus Camby,PF,38,NYK,3,0,3,18.5,18.5,1.000,0.0,0.0,0,18.5,18.5,1.000,0.0,0.0,0,18.5,18.5,36.9,0.0,0.0,0.0,18.5,18.5,36.9,,92,96,2012-2013
243,40,Mario Chalmers,PG,26,MIA,23,23,650,6.4,15.5,.415,2.0,5.7,.353,4.4,9.7,.452,3.4,4.5,.755,0.8,3.6,4.5,6.0,1.8,0.1,3.2,5.9,18.3,,103,106,2012-2013
244,41,Tyson Chandler,C,30,NYK,12,12,350,4.4,8.2,.538,0.0,0.0,0,4.4,8.2,.538,1.9,2.5,.750,6.3,7.6,13.9,0.6,1.3,2.2,1.7,7.6,10.8,,119,98,2012-2013
245,42,Wilson Chandler,PF,25,DEN,6,6,205,6.5,18.3,.355,2.2,7.0,.310,4.3,11.3,.383,2.2,2.9,.750,1.2,6.7,7.9,1.9,1.9,0.7,1.7,6.0,17.3,,93,109,2012-2013
246,43,Earl Clark,PF,25,LAL,4,1,82,4.4,12.1,.368,0.0,2.5,.000,4.4,9.5,.467,0.0,0.0,0,1.3,6.4,7.6,0.6,0.6,0.6,3.8,2.5,8.9,,61,115,2012-2013
247,44,Norris Cole,PG,24,MIA,21,0,418,6.4,13.4,.480,2.2,4.2,.531,4.2,9.2,.457,1.8,2.5,.737,0.8,4.3,5.1,5.5,2.0,0.3,3.0,5.3,17.0,,109,105,2012-2013
248,45,Nick Collison,C,32,OKC,11,0,178,6.4,13.7,.468,0.0,0.0,0,6.4,13.7,.468,3.2,3.5,.917,7.3,7.6,14.8,3.5,1.5,3.2,2.9,10.8,16.0,,112,101,2012-2013
249,46,Mike Conley,PG,25,MEM,15,15,575,7.8,20.4,.384,1.7,6.0,.281,6.1,14.4,.428,6.7,8.8,.763,1.1,5.6,6.7,10.1,2.5,0.5,3.2,3.2,24.1,,107,104,2012-2013
