,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game,Season
72,73,Marc Gasol,C,27,MEM,7,7,37.3,5.1,9.9,.522,0.0,0.1,.000,5.1,9.7,.529,.522,4.9,6.1,.791,2.3,4.4,6.7,3.1,0.3,1.9,1.9,3.6,15.1,2011-2012
73,74,Pau Gasol,PF,31,LAL,12,12,37.0,5.2,11.9,.434,0.2,0.4,.400,5.0,11.5,.435,.441,2.0,2.4,.828,3.2,6.3,9.5,3.7,0.5,2.1,1.7,3.0,12.5,2011-2012
74,75,Rudy Gay,SF,25,MEM,7,7,39.9,6.9,16.3,.421,0.6,2.7,.211,6.3,13.6,.463,.439,4.7,5.7,.825,1.4,5.1,6.6,1.4,1.3,0.3,3.0,2.1,19.0,2011-2012
75,76,Paul George,SG,21,IND,11,11,33.7,3.4,8.6,.389,1.0,3.7,.268,2.4,4.9,.481,.447,2.0,2.5,.786,1.4,5.3,6.6,2.4,1.6,0.4,1.9,2.9,9.7,2011-2012
76,77,Taj Gibson,PF,26,CHI,6,0,22.8,3.5,7.7,.457,0.0,0.0,0,3.5,7.7,.457,.457,2.5,3.7,.682,2.5,4.0,6.5,0.7,0.7,1.7,0.5,3.2,9.5,2011-2012
77,78,Manu Ginóbili,SG,34,SAS,14,2,27.9,4.6,10.4,.448,1.6,4.9,.338,3.0,5.5,.545,.528,3.4,4.0,.857,0.6,2.9,3.5,4.0,0.7,0.3,3.0,2.6,14.4,2011-2012
78,79,Andrew Goudelock,SG,23,LAL,4,0,2.5,0.5,0.8,.667,0.3,0.3,1.000,0.3,0.5,.500,.833,0.0,0.0,0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.3,2011-2012
79,80,Danny Granger,SF,28,IND,11,11,38.2,6.3,15.8,.397,2.4,6.6,.356,3.9,9.2,.426,.471,2.1,2.5,.821,1.4,4.3,5.6,2.5,0.5,0.4,2.6,2.8,17.0,2011-2012
80,81,Danny Green,SG,24,SAS,14,12,20.6,2.7,6.5,.418,1.4,4.1,.345,1.3,2.4,.545,.527,0.5,0.7,.700,0.2,3.0,3.2,1.1,0.5,0.7,1.1,1.7,7.4,2011-2012
81,82,Willie Green,SG,30,ATL,5,0,12.6,1.2,2.6,.462,0.2,0.8,.250,1.0,1.8,.556,.500,0.0,0.0,0,0.2,1.4,1.6,0.6,0.0,0.0,0.4,1.2,2.6,2011-2012
82,83,Blake Griffin,PF,22,LAC,11,11,35.7,7.6,15.3,.500,0.0,0.1,.000,7.6,15.2,.503,.500,3.8,6.0,.636,1.7,5.2,6.9,2.5,1.8,0.9,2.3,3.7,19.1,2011-2012
83,84,Hamed Haddadi,C,26,MEM,4,0,5.3,0.5,0.5,1.000,0.0,0.0,0,0.5,0.5,1.000,1.000,0.3,0.5,.500,1.3,1.0,2.3,0.3,0.0,0.5,0.3,1.3,1.3,2011-2012
84,85,Jordan Hamilton,SF,21,DEN,2,0,2.5,1.0,1.5,.667,0.0,0.0,0,1.0,1.5,.667,.667,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,2.0,2011-2012
85,86,Richard Hamilton,SG,33,CHI,6,6,28.5,4.8,11.7,.414,0.3,1.0,.333,4.5,10.7,.422,.429,3.0,3.7,.818,1.3,1.8,3.2,3.0,0.2,0.0,1.3,2.5,13.0,2011-2012
86,87,Tyler Hansbrough,PF,26,IND,11,0,14.9,1.5,4.5,.340,0.0,0.0,0,1.5,4.5,.340,.340,1.3,1.9,.667,1.1,2.1,3.2,0.5,0.5,0.3,0.7,2.0,4.4,2011-2012
87,88,James Harden,SG,22,OKC,20,0,31.5,4.7,10.7,.435,1.6,3.9,.410,3.1,6.8,.449,.509,5.4,6.3,.857,0.7,4.5,5.1,3.4,1.6,0.1,2.1,3.4,16.3,2011-2012
